col,auc,coverage,not_zero
ps_ind_06_bin,0.455656771512,1.0,0.393742061652
ps_ind_16_bin,0.464912198794,1.0,0.660823370497
ps_ind_15,0.466689686429,1.0,0.946529975874
ps_car_02_cat,0.46838616927,1.0,0.82994798492
ps_car_07_cat,0.477376975061,1.0,0.948631748016
ps_car_08_cat,0.479712696589,1.0,0.832079998387
ps_ind_09_bin,0.491461184278,1.0,0.185303723715
ps_calc_19_bin,0.497782248039,1.0,0.349023541192
ps_calc_12,0.498376677692,1.0,0.763107934652
ps_calc_08,0.498510072798,1.0,1.0
ps_calc_20_bin,0.498969274667,1.0,0.153318481482
ps_calc_07,0.499401149077,1.0,0.974311673824
ps_car_11,0.499423277772,1.0,0.956346646237
ps_calc_15_bin,0.499571105521,1.0,0.122426967198
ps_calc_04,0.49961354904,1.0,0.959826078775
ps_calc_13,0.499660618983,1.0,0.943452080939
id,0.499709564604,1.0,1.0
ps_calc_17_bin,0.499774378984,1.0,0.554182375355
ps_ind_10_bin,0.500093493602,1.0,0.000372976351283
ps_calc_11,0.500147445252,1.0,0.995865338736
ps_calc_06,0.500158926658,1.0,0.999998319926
ps_ind_13_bin,0.500201968036,1.0,0.000947561541098
ps_ind_11_bin,0.500222389435,1.0,0.00169183417001
ps_car_10_cat,0.500253622327,1.0,0.99183988226
ps_calc_05,0.500589109003,1.0,0.897135810434
ps_calc_18_bin,0.500666879684,1.0,0.287181710046
ps_calc_16_bin,0.500804549017,1.0,0.627840164513
ps_calc_14,0.501453953314,1.0,0.999479177167
ps_calc_09,0.501548628327,1.0,0.942072740469
ps_calc_10,0.501727483976,1.0,0.999766469762
ps_ind_12_bin,0.502014940566,1.0,0.00943865379058
ps_ind_14,0.502068756786,1.0,0.0107188699153
ps_calc_02,0.502083965396,1.0,0.89983736887
ps_calc_01,0.502727927719,1.0,0.899565196938
ps_calc_03,0.502923174594,1.0,0.900341390967
ps_ind_18_bin,0.504380618975,1.0,0.15344616708
ps_car_09_cat,0.504887860092,1.0,0.673195432888
ps_ind_02_cat,0.506204740727,1.0,1.0
ps_car_14,0.506599190747,1.0,1.0
ps_car_11_cat,0.512415750312,1.0,1.0
ps_ind_03,0.512445377139,1.0,0.973935337325
ps_ind_04_cat,0.512617258008,1.0,0.417073244491
ps_ind_08_bin,0.512985709948,1.0,0.163921426315
ps_car_06_cat,0.515691845254,1.0,0.814486267078
ps_ind_05_cat,0.520250014048,1.0,0.112905989799
ps_ind_01,0.527618786522,1.0,0.684828262871
ps_car_01_cat,0.528911793672,1.0,0.990080845144
ps_car_05_cat,0.530584809076,1.0,0.737918590351
ps_ind_17_bin,0.532250011926,1.0,0.121081228201
ps_reg_01,0.534666341323,1.0,0.963572643025
ps_car_04_cat,0.536472640033,1.0,0.16570734461
ps_car_03_cat,0.539652519522,1.0,0.876897643193
ps_ind_07_bin,0.539896334263,1.0,0.257032788317
ps_car_15,0.544928503751,1.0,0.976166475138
ps_reg_02,0.550365344086,1.0,0.84997446288
ps_car_12,0.555155325434,1.0,1.0
ps_reg_03,0.557416743839,1.0,1.0
ps_car_13,0.57654677906,1.0,1.0
target,1.0,1.0,1.0
