col,auc,coverage,not_zero
ps_ind_06_bin,0.455656771512,1.0,0.393742061652
ps_car_04_cat_0,0.464404081444,1.0,0.83429265539
ps_ind_16_bin,0.464912198794,1.0,0.660823370497
ps_ind_15,0.466689686429,1.0,0.946529975874
ps_car_01_cat_7.0,0.467083959546,1.0,0.301148162335
ps_ind_05_cat_0.0,0.467382734665,1.0,0.887094010201
ps_car_02_cat_1.0,0.46838516239,1.0,0.829939584551
ps_car_07_cat_1.0,0.477757787693,1.0,0.9293293818
ps_car_08_cat_1,0.479712696589,1.0,0.832079998387
ps_car_06_cat_11,0.485125973962,1.0,0.220975047546
ps_car_09_cat_0.0,0.485559742697,1.0,0.326804567112
ps_ind_04_cat_0.0,0.48624588399,1.0,0.582926755509
ps_car_01_cat_6.0,0.490023828027,1.0,0.104824835521
ps_ind_09_bin,0.491461184278,1.0,0.185303723715
ps_car_06_cat_0,0.49187844026,1.0,0.185513732922
ps_ind_02_cat_1.0,0.49253255461,1.0,0.725554928328
ps_car_06_cat_1,0.493592500884,1.0,0.198897199653
ps_car_11_cat_103,0.49432411168,1.0,0.0407619470038
ps_car_11_cat_64,0.495886349505,1.0,0.0374286808734
ps_car_11_cat_99,0.496127382959,1.0,0.0202314469466
ps_car_11_cat_32,0.496353761736,1.0,0.0211319664254
ps_car_06_cat_14,0.496947258815,1.0,0.0995494042459
ps_car_11_cat_82,0.497450032447,1.0,0.0175903711619
ps_car_11_cat_10,0.497745339446,1.0,0.0146704031505
ps_calc_19_bin,0.497782248039,1.0,0.349023541192
ps_car_11_cat_39,0.497924463703,1.0,0.0128962453714
ps_car_11_cat_87,0.498027316005,1.0,0.0287393399327
ps_car_06_cat_4,0.498066575926,1.0,0.0523107733043
ps_car_11_cat_16,0.498244589822,1.0,0.0117722760966
ps_car_11_cat_67,0.49834102992,1.0,0.0118630000739
ps_calc_12,0.498376677692,1.0,0.763107934652
ps_car_11_cat_19,0.498474571587,1.0,0.00856333541662
ps_car_11_cat_65,0.498482054046,1.0,0.0183212032015
ps_calc_08,0.498510072798,1.0,1.0
ps_car_11_cat_7,0.498516076503,1.0,0.00949745636849
ps_car_11_cat_43,0.498572528977,1.0,0.00556272386981
ps_car_11_cat_11,0.498593965816,1.0,0.0112833746631
ps_car_11_cat_44,0.498657470106,1.0,0.00945545452713
ps_car_11_cat_38,0.498780246858,1.0,0.0155339610089
ps_car_11_cat_57,0.49884424199,1.0,0.00637587951856
ps_car_09_cat_2.0,0.498910662636,1.0,0.593875795515
ps_calc_20_bin,0.498969274667,1.0,0.153318481482
ps_car_11_cat_60,0.499012391636,1.0,0.0134271486462
ps_car_11_cat_48,0.499042027625,1.0,0.0100972426631
ps_car_11_cat_42,0.499086352047,1.0,0.0083062841475
ps_car_11_cat_37,0.499197993682,1.0,0.00841380886138
ps_car_11_cat_84,0.499226493109,1.0,0.00822060039112
ps_car_11_cat_88,0.499238108055,1.0,0.00759897313898
ps_car_11_cat_53,0.499240883516,1.0,0.00782410300868
ps_car_11_cat_95,0.499242218762,1.0,0.00597770206246
ps_car_11_cat_66,0.499259666018,1.0,0.00520654825508
ps_car_11_cat_22,0.499279966294,1.0,0.0140638965612
ps_car_11_cat_74,0.499298522464,1.0,0.00835836643078
ps_car_11_cat_85,0.499304101033,1.0,0.0106063049804
ps_calc_07,0.499401149077,1.0,0.974311673824
ps_car_11,0.499418913645,0.999991599632,0.956338245869
ps_car_11_cat_49,0.499441047245,1.0,0.00919000288973
ps_car_11_cat_62,0.499486226841,1.0,0.00486213315592
ps_car_09_cat_3.0,0.499525922549,1.0,0.0247911668448
ps_car_11_cat_9,0.499555442077,1.0,0.00371464284994
ps_calc_15_bin,0.499571105521,1.0,0.122426967198
ps_car_11_cat_68,0.499576101061,1.0,0.0140924578134
ps_calc_04,0.49961354904,1.0,0.959826078775
ps_car_11_cat_98,0.499620265217,1.0,0.00478820991512
ps_calc_13,0.499660618983,1.0,0.943452080939
ps_car_11_cat_52,0.499672391904,1.0,0.00593234007379
ps_car_11_cat_30,0.499673947856,1.0,0.00390113102558
ps_car_11_cat_86,0.499723768143,1.0,0.00624819392082
ps_car_11_cat_40,0.49974885764,1.0,0.00818195869707
ps_car_10_cat_0,0.499760191199,1.0,0.00816011773956
ps_calc_17_bin,0.499774378984,1.0,0.554182375355
ps_car_11_cat_26,0.499790848013,1.0,0.00579625410778
ps_car_11_cat_96,0.499795350461,1.0,0.00348279268563
ps_car_11_cat_77,0.499816864378,1.0,0.0040405771389
ps_car_11_cat_27,0.499853282049,1.0,0.00996283677076
ps_car_11_cat_76,0.499856907058,1.0,0.00437827194344
ps_car_11_cat_102,0.499864874732,1.0,0.00353319489526
ps_car_04_cat_4,0.499919081487,1.0,0.000386416940519
ps_car_11_cat_15,0.499939690559,1.0,0.00315853847033
ps_car_11_cat_92,0.499973029359,1.0,0.0109305591957
ps_car_11_cat_29,0.499980599666,1.0,0.00750488901433
ps_car_11_cat_73,0.499982790088,1.0,0.00312157684993
ps_car_11_cat_59,0.499987750584,1.0,0.00297373036834
ps_car_11_cat_34,0.500013066413,1.0,0.00799547052143
ps_car_10_cat_2,0.500013998666,1.0,0.00029569296318
ps_car_11_cat_6,0.500038514376,1.0,0.00416658266298
ps_car_11_cat_8,0.500061562224,1.0,0.00416826273664
ps_car_11_cat_23,0.500076675431,1.0,0.00280236285559
ps_ind_10_bin,0.500093493602,1.0,0.000372976351283
ps_car_11_cat_2,0.500094470382,1.0,0.00428922803976
ps_car_11_cat_51,0.50012015593,1.0,0.0100938825158
ps_car_11_cat_91,0.500143744289,1.0,0.00308797537684
ps_calc_11,0.500147445252,1.0,0.995865338736
ps_car_11_cat_24,0.500149234528,1.0,0.00395321330887
ps_calc_06,0.500158926658,1.0,0.999998319926
ps_car_11_cat_81,0.500161953004,1.0,0.0024075455468
ps_car_11_cat_36,0.500172812118,1.0,0.00496797779615
ps_car_01_cat_3.0,0.500175389136,1.0,0.0111859303912
ps_car_06_cat_6,0.50017671972,1.0,0.0351992231339
ps_car_04_cat_7,0.500189773676,1.0,0.000233530237966
ps_ind_13_bin,0.500201968036,1.0,0.000947561541098
ps_car_11_cat_47,0.500211193878,1.0,0.00341894988676
ps_ind_11_bin,0.500222389435,1.0,0.00169183417001
ps_car_11_cat_70,0.50022506041,1.0,0.0125652708615
ps_car_10_cat_1,0.500225810135,1.0,0.991544189297
ps_car_04_cat_3,0.500231388945,1.0,0.00107524713883
ps_car_11_cat_54,0.50023637709,1.0,0.00272507946748
ps_car_11_cat_35,0.500239704315,1.0,0.00248818908221
ps_car_11_cat_14,0.500252097359,1.0,0.00449251695194
ps_car_11_cat_31,0.500272082973,1.0,0.00887918926366
ps_car_11_cat_50,0.500322515465,1.0,0.00306613441933
ps_car_11_cat_101,0.500323194461,1.0,0.0123300605499
ps_car_11_cat_1,0.500325147539,1.0,0.0055963253429
ps_car_11_cat_45,0.500330582481,1.0,0.00286620565446
ps_car_01_cat_2.0,0.500331443282,1.0,0.0036020779151
ps_car_01_cat_1.0,0.500339090908,1.0,0.0022966606856
ps_car_11_cat_20,0.500374222763,1.0,0.00310477611338
ps_car_11_cat_12,0.500380353338,1.0,0.0121738137
ps_car_11_cat_78,0.500399312501,1.0,0.0123216601816
ps_car_11_cat_79,0.500412030736,1.0,0.00349287312756
ps_car_11_cat_80,0.50042779529,1.0,0.00959322056679
ps_car_04_cat_5,0.500457729063,1.0,0.000915640141664
ps_car_11_cat_46,0.500474172372,1.0,0.00899679441947
ps_ind_05_cat_5.0,0.500475954415,1.0,0.00277044145615
ps_car_06_cat_3,0.500496072887,1.0,0.0201558436322
ps_ind_02_cat_3.0,0.500518823674,1.0,0.0473545560237
ps_car_11_cat_56,0.500565431026,1.0,0.00213705368843
ps_car_11_cat_25,0.500569431621,1.0,0.00789130595485
ps_calc_05,0.500589109003,1.0,0.897135810434
ps_car_11_cat_83,0.500607179153,1.0,0.0159775004536
ps_car_01_cat_10.0,0.500632750892,1.0,0.0841498491294
ps_car_11_cat_63,0.500641008313,1.0,0.00185312124084
ps_car_11_cat_69,0.500644423868,1.0,0.00299893147316
ps_calc_18_bin,0.500666879684,1.0,0.287181710046
ps_car_06_cat_12,0.500694536554,1.0,0.00400865573947
ps_car_11_cat_33,0.500759663105,1.0,0.00300733184143
ps_calc_16_bin,0.500804549017,1.0,0.627840164513
ps_car_11_cat_97,0.500811160708,1.0,0.00249322930317
ps_car_04_cat_6,0.500840581618,1.0,0.00262091490091
ps_car_11_cat_58,0.500852516612,1.0,0.00245962783008
ps_car_11_cat_17,0.500858884289,1.0,0.00659596916729
ps_car_11_cat_18,0.500886467618,1.0,0.00207153081591
ps_car_06_cat_7,0.500910884709,1.0,0.0271466301083
ps_car_11_cat_4,0.500928794675,1.0,0.00268139755247
ps_car_06_cat_16,0.500956725941,1.0,0.00769809748459
ps_car_11_cat_71,0.500982935364,1.0,0.00395993360349
ps_car_09_cat_4.0,0.500997254077,1.0,0.00471596674798
ps_car_11_cat_94,0.501025301081,1.0,0.00562992681599
ps_car_06_cat_5,0.501027039079,1.0,0.00235378318986
ps_car_01_cat_0.0,0.501048012485,1.0,0.00991915485575
ps_car_11_cat_75,0.501072583009,1.0,0.00281916359213
ps_car_11_cat_90,0.501105783808,1.0,0.00888590955828
ps_car_06_cat_8,0.501113127783,1.0,0.00237226400005
ps_car_11_cat_3,0.50112218259,1.0,0.00535103458936
ps_car_11_cat_13,0.501131060736,1.0,0.00556440394347
ps_car_06_cat_2,0.501134481677,1.0,0.00269987836267
ps_car_11_cat_61,0.501135921891,1.0,0.00477140917858
ps_ind_02_cat_4.0,0.501179242608,1.0,0.0191158780401
ps_car_01_cat_5.0,0.501214380329,1.0,0.0304798962387
ps_car_11_cat_89,0.501235904535,1.0,0.00845077048178
ps_car_11_cat_21,0.501283318838,1.0,0.00407249853834
ps_ind_05_cat_3.0,0.501289929485,1.0,0.0138320463969
ps_car_11_cat_72,0.501414620413,1.0,0.00483357190379
ps_calc_14,0.501453953314,1.0,0.999479177167
ps_calc_09,0.501548628327,1.0,0.942072740469
ps_car_11_cat_93,0.50155889983,1.0,0.00492429588113
ps_car_11_cat_5,0.501648834972,1.0,0.0210227616379
ps_car_11_cat_100,0.501698075363,1.0,0.00746792739394
ps_car_01_cat_4.0,0.501698838028,1.0,0.043974247831
ps_calc_10,0.501727483976,1.0,0.999766469762
ps_car_11_cat_28,0.501794477283,1.0,0.0210647634792
ps_car_11_cat_55,0.501934226122,1.0,0.00710503148458
ps_ind_12_bin,0.502014940566,1.0,0.00943865379058
ps_ind_14,0.502068756786,1.0,0.0107188699153
ps_calc_02,0.502083965396,1.0,0.89983736887
ps_ind_05_cat_1.0,0.502264803217,1.0,0.0139815729522
ps_car_01_cat_8.0,0.502509115189,1.0,0.0253573516663
ps_calc_01,0.502727927719,1.0,0.899565196938
ps_calc_03,0.502923174594,1.0,0.900341390967
ps_car_11_cat_41,0.502942692153,1.0,0.00534599436839
ps_car_06_cat_13,0.503070059682,1.0,0.0104937400456
ps_car_06_cat_17,0.503232299459,1.0,0.00829116348461
ps_ind_05_cat_2.0,0.503910950095,1.0,0.00702942817013
ps_ind_18_bin,0.504380618975,1.0,0.15344616708
ps_ind_02_cat_2.0,0.505000904166,1.0,0.207611741699
ps_car_03_cat_0.0,0.505415828833,1.0,0.123102356807
ps_car_04_cat_2,0.506114881578,1.0,0.0399353507658
ps_car_06_cat_10,0.506129349787,1.0,0.0562253449191
ps_car_04_cat_8,0.506751420236,1.0,0.0346061571339
ps_ind_05_cat_4.0,0.506850751532,1.0,0.0308192711168
ps_car_06_cat_15,0.507628518625,1.0,0.0365113606581
ps_car_06_cat_9,0.507819434248,1.0,0.0295978575701
ps_car_01_cat_9.0,0.508737303743,1.0,0.034144136879
ps_car_04_cat_1,0.509507776773,1.0,0.053955565412
ps_car_07_cat_0.0,0.510778608611,1.0,0.0513682519842
ps_ind_05_cat_6.0,0.511312118547,1.0,0.0347136818478
ps_car_04_cat_9,0.51158328518,1.0,0.0319785219384
ps_ind_03,0.512445377139,1.0,0.973935337325
ps_car_14,0.512464302922,0.928395260848,0.928395260848
ps_ind_08_bin,0.512985709948,1.0,0.163921426315
ps_ind_04_cat_1.0,0.513037127659,1.0,0.416933798378
ps_car_05_cat_0.0,0.513667834571,1.0,0.262081409649
ps_car_09_cat_1.0,0.514258656897,1.0,0.0488565418708
ps_car_05_cat_1.0,0.516545621602,1.0,0.290093277689
ps_car_11_cat_104,0.517435897078,1.0,0.14294570674
ps_car_08_cat_0,0.520287303411,1.0,0.167920001613
ps_car_01_cat_11.0,0.525485903917,1.0,0.348737928671
ps_ind_01,0.527618786522,1.0,0.684828262871
ps_car_03_cat_1.0,0.531380960701,1.0,0.185999274208
ps_car_02_cat_0.0,0.531619196671,1.0,0.17005201508
ps_ind_17_bin,0.532250011926,1.0,0.121081228201
ps_reg_01,0.534666341323,1.0,0.963572643025
ps_ind_07_bin,0.539896334263,1.0,0.257032788317
ps_car_15,0.544928503751,1.0,0.976166475138
ps_reg_02,0.550365344086,1.0,0.84997446288
ps_reg_03,0.552204541531,0.818935102115,0.818935102115
ps_car_12,0.555154549791,0.999998319926,0.999998319926
ps_car_13,0.57654677906,1.0,1.0
target,1.0,1.0,1.0
