name,mean,importance
ps_car_13_x_ps_reg_03,90.8,"[90, 77, 117, 71, 99]"
hcc_ps_car_11_cat,81.6,"[74, 64, 107, 76, 87]"
ps_car_13,79.6,"[87, 53, 90, 70, 98]"
hcc_ps_car_01_cat,79.0,"[88, 57, 88, 55, 107]"
hcc_ps_car_06_cat,76.4,"[63, 82, 96, 53, 88]"
hcc_ps_car_04_cat,71.4,"[73, 63, 75, 58, 88]"
hcc_comb_1,69.2,"[65, 49, 88, 61, 83]"
hcc_comb_0,64.0,"[54, 61, 84, 47, 74]"
ps_reg_03,58.0,"[55, 37, 71, 49, 78]"
ps_car_14,43.8,"[33, 37, 50, 37, 62]"
ps_ind_03,40.8,"[44, 35, 42, 37, 46]"
ps_ind_15,29.4,"[32, 28, 31, 28, 28]"
ps_ind_01,26.8,"[28, 22, 30, 24, 30]"
ps_ind_05_cat_tmp,24.2,"[25, 20, 25, 23, 28]"
ps_reg_02,18.8,"[22, 15, 20, 14, 23]"
ps_calc_10,18.8,"[13, 21, 19, 12, 29]"
ps_car_11_cat,18.2,"[16, 13, 29, 13, 20]"
ps_ind_17_bin,17.4,"[15, 16, 18, 20, 18]"
ps_car_12,15.6,"[12, 14, 19, 17, 16]"
ps_calc_14,14.2,"[14, 9, 22, 9, 17]"
ps_car_15,13.8,"[15, 12, 13, 14, 15]"
ps_car_07_cat_tmp,13.4,"[13, 16, 15, 10, 13]"
ps_calc_11,12.4,"[13, 6, 17, 8, 18]"
ps_calc_02,11.4,"[11, 9, 19, 6, 12]"
ps_calc_07,11.2,"[9, 9, 10, 11, 17]"
ps_ind_02_cat_tmp,10.6,"[11, 12, 9, 7, 14]"
ps_car_09_cat_tmp,10.6,"[11, 7, 11, 11, 13]"
ps_calc_13,10.0,"[13, 9, 12, 6, 10]"
ps_calc_01,9.8,"[10, 8, 11, 5, 15]"
ps_car_06_cat,9.6,"[9, 8, 14, 6, 11]"
ps_ind_04_cat_tmp,9.2,"[9, 9, 12, 8, 8]"
ps_calc_03,9.2,"[11, 8, 10, 5, 12]"
ps_car_03_cat_tmp,9.2,"[7, 8, 7, 12, 12]"
ps_car_01_cat,8.8,"[13, 6, 8, 6, 11]"
ps_calc_05,7.6,"[8, 7, 11, 3, 9]"
ps_car_11,7.4,"[9, 8, 5, 6, 9]"
ps_calc_09,6.8,"[4, 4, 16, 4, 6]"
ps_calc_08,6.8,"[5, 5, 8, 7, 9]"
ps_calc_06,6.4,"[7, 4, 9, 4, 8]"
ps_calc_12,6.2,"[1, 3, 13, 5, 9]"
"ps_car_09_cat_1,0",6.2,"[8, 6, 6, 6, 5]"
comb_1,6.0,"[6, 4, 3, 8, 9]"
ps_ind_07_bin,5.8,"[6, 6, 4, 6, 7]"
ps_ind_16_bin,5.6,"[7, 4, 6, 4, 7]"
comb_0,5.4,"[6, 5, 7, 4, 5]"
ps_ind_06_bin,5.4,"[5, 5, 7, 4, 6]"
ps_calc_04,5.2,"[7, 4, 5, 3, 7]"
ps_ind_08_bin,4.8,"[6, 3, 3, 8, 4]"
ps_ind_09_bin,4.4,"[4, 6, 5, 3, 4]"
"ps_ind_05_cat_2,0",4.2,"[4, 6, 4, 3, 4]"
"ps_ind_05_cat_3,0",4.0,"[4, 4, 4, 4, 4]"
ps_car_05_cat_tmp,4.0,"[4, 2, 3, 4, 7]"
"ps_ind_02_cat_2,0",3.2,"[3, 3, 6, 2, 2]"
ps_calc_19_bin,2.6,"[5, 2, 2, 1, 3]"
ps_car_08_cat_tmp,2.0,"[1, 2, 1, 2, 4]"
ps_ind_14,2.0,"[2, 2, 1, 0, 5]"
ps_reg_01,1.8,"[1, 1, 0, 3, 4]"
ps_calc_20_bin,1.6,"[1, 1, 0, 3, 3]"
ps_calc_18_bin,1.6,"[4, 1, 0, 1, 2]"
ps_car_10_cat_tmp,1.6,"[4, 1, 0, 0, 3]"
"ps_ind_05_cat_5,0",1.6,"[3, 0, 3, 0, 2]"
"ps_ind_05_cat_1,0",1.4,"[1, 1, 3, 2, 0]"
"ps_car_10_cat_1,0",1.2,"[1, 1, 2, 0, 2]"
ps_calc_15_bin,1.0,"[2, 0, 1, 1, 1]"
ps_calc_17_bin,1.0,"[2, 1, 1, 1, 0]"
"ps_ind_02_cat_3,0",1.0,"[1, 2, 1, 1, 0]"
ps_ind_11_bin,1.0,"[1, 0, 3, 0, 1]"
"ps_car_09_cat_3,0",0.8,"[1, 0, 2, 0, 1]"
"ps_ind_05_cat_4,0",0.8,"[0, 1, 2, 1, 0]"
ps_ind_12_bin,0.8,"[1, 0, 2, 0, 1]"
ps_car_04_cat,0.8,"[2, 1, 0, 0, 1]"
ps_ind_13_bin,0.4,"[0, 1, 0, 0, 1]"
ps_calc_16_bin,0.4,"[1, 0, 0, 0, 1]"
ps_ind_18_bin,0.2,"[0, 0, 1, 0, 0]"
ps_ind_10_bin,0.2,"[0, 0, 0, 0, 1]"
"ps_car_09_cat_2,0",0.2,"[0, 0, 0, 0, 1]"
